aitable_record_id,source_created_at,source_updated_at,language_name,language_code
recbzmMe2crPP,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Afrikaans,af
recjbbRDG5DiA,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Akan,ak
recGeattwHcNT,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Albanian,sq
recPbkXboHX4Y,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Amharic,am
recRcROQMJkrJ,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Arabic,ar
reccF7tnY8tix,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Armenian,hy
recBvW0c7jEaJ,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Azeri,az
rec2RDtDPE0lB,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Balinese,ban
rec2Jlvh7I89Y,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Basque,eu
recexmZHL3OBU,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Belarusian,be
recpYSsXCe3zj,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Bengali,bn
rec3N55bAhGzC,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Bosnian,bs
rec6fHcNFnusM,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Bulgarian,bg
recmgbI7bW31N,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Burmese,my
recvewYeYn8rn,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Catalan,ca
recH5Rfv5A1hh,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Cebuano,ceb
reca0hh0IZo5n,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Chichewa,ny
recpYort9byvf,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Chinese (Simplified),zh-CN
recv6ayv0JNjH,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Chinese (Traditional),zh-TW
recOmLZ1drIat,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Croatian,hr
recDcrG96c73I,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Czech,cs
recRoEgUqRSfb,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Danish,da
rec9FQKoXDpof,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Dutch,nl
recSPts3il11v,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,English,en
recEifKZFxQHL,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Espanol (Latinoamerica),es-419
recXOY7xiwZE9,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Estonian,et
recdUNDpsEJP7,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Ewe,ee
reckDjfjCebqm,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Faroese,fo
reciEvrQMksz5,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Farsi,fa
reci2liggzKEz,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Filipino,fil
recEcVTVI2eP6,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Finnish,fi
recHNU48AMjUZ,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,French,fr
recp9UPYzvK4K,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Frisian,fy
recnC05iDmadY,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Ga,gaa
recbp6ZoGk3nc,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Galician,gl
recBNywRgCcYA,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Ganda,lg
recIT69yd26Iy,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Georgian,ka
recBhMwFND3VX,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,German,de
rectWDt9uKJSC,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Greek,el
recgLEzLb1UgN,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Gujarati,gu
recfLk87EqCdN,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Haitian,ht
recaW0wSPisl7,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Hausa,ha
recrYcC165q6I,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Hebrew,he
recOQ10aiqMYp,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Hebrew (old),iw
recI1rdMs0AuI,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Hindi,hi
recOMGbZXcSF1,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Hungarian,hu
recNr2vsc7VAf,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Icelandic,is
recgt14yGn7M0,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,IciBemba,bem
recsQsx2QFrRG,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Igbo,ig
receKZF2cwLU2,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Indonesian,id
recITOFoAFOHo,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Irish,ga
rec86AN58Rw9S,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Italian,it
recNjjKTE55yM,2025-05-22T07:38:22+00:00,2025-05-22T07:38:22+00:00,Japanese,ja
